short_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
lightbend.dispatchers.processing_time.p98,gauge,,nanosecond,,98th percentile time for processing tasks in a dispatcher.,0,Lightbend Reactive Platform,lrp disp proc tm p98
lightbend.dispatchers.processing_time.p99,gauge,,nanosecond,,99th percentile time for processing tasks in a dispatcher.,0,Lightbend Reactive Platform,lrp disp proc tm p99
lightbend.dispatchers.processing_time.p999,gauge,,nanosecond,,99.9th percentile time for processing tasks in a dispatcher.,0,Lightbend Reactive Platform,lrp disp proc tm p999
lightbend.dispatchers.processing_time.stddev,gauge,,nanosecond,,Standard deviation for the time for processing tasks in a dispatcher.,0,Lightbend Reactive Platform,lrp disp proc tm stdev
lightbend.dispatchers.queue_size,gauge,,task,,Current number of tasks queued to be processed by a dispatcher.,0,Lightbend Reactive Platform,lrp disp q sz
lightbend.dispatchers.queue_time.max,gauge,,nanosecond,,Maximum queue time for tasks waiting to be processed by a dispatcher.,0,Lightbend Reactive Platform,lrp disp q tm max
lightbend.dispatchers.queue_time.mean,gauge,,nanosecond,,Average queue time for tasks waiting to be processed by a dispatcher.,0,Lightbend Reactive Platform,lrp disp q tm avg
lightbend.dispatchers.queue_time.median,gauge,,nanosecond,,Median queue time for tasks waiting to be processed by a dispatcher.,0,Lightbend Reactive Platform,lrp disp q tm med
lightbend.dispatchers.queue_time.min,gauge,,nanosecond,,Minimum queue time for tasks waiting to be processed by a dispatcher.,0,Lightbend Reactive Platform,lrp disp q tm min
lightbend.dispatchers.queue_time.p75,gauge,,nanosecond,,75th percentile queue time for tasks waiting to be processed by a dispatcher.,0,Lightbend Reactive Platform,lrp disp q tm p75
lightbend.dispatchers.queue_time.p95,gauge,,nanosecond,,95th percentile queue time for tasks waiting to be processed by a dispatcher.,0,Lightbend Reactive Platform,lrp disp q tm p95
lightbend.dispatchers.queue_time.p98,gauge,,nanosecond,,98th percentile queue time for tasks waiting to be processed by a dispatcher.,0,Lightbend Reactive Platform,lrp disp q tm p98
lightbend.dispatchers.queue_time.p99,gauge,,nanosecond,,99th percentile queue time for tasks waiting to be processed by a dispatcher.,0,Lightbend Reactive Platform,lrp disp q tm p99
lightbend.dispatchers.queue_time.p999,gauge,,nanosecond,,99.9th percentile queue time for tasks waiting to be processed by a dispatcher.,0,Lightbend Reactive Platform,lrp disp q tm p999
lightbend.dispatchers.queue_time.stddev,gauge,,nanosecond,,Standard deviation for the queue time for tasks waiting to be processed by a dispatcher.,0,Lightbend Reactive Platform,lrp disp q tm stdev
lightbend.dispatchers.parallelism,gauge,,,,Parallelism setting for a fork/join thread pool.,0,Lightbend Reactive Platform,lrp disp paral
lightbend.dispatchers.pool_size,gauge,,,,Current size of a thread pool.,0,Lightbend Reactive Platform,lrp disp pool sz
lightbend.dispatchers.active_threads,gauge,,thread,,Estimate of the number of active threads in a thread pool.,0,Lightbend Reactive Platform,lrp disp act thr
lightbend.dispatchers.running_threads,gauge,,thread,,Estimate of the number of running threads (not blocked) in a fork/join thread pool.,0,Lightbend Reactive Platform,lrp disp run thr
lightbend.dispatchers.queued_tasks,gauge,,task,,Estimate of the number of queued tasks in a fork/join thread pool.,0,Lightbend Reactive Platform,lrp disp q tsk
lightbend.actors.remote_sent_messages.mean_rate,gauge,,message,second,Average rate of remote messages sent.,0,Lightbend Reactive Platform,lrp r msgs sen mean
lightbend.actors.remote_sent_messages.min1_rate,gauge,,message,second,1 minute rate of remote messages sent.,0,Lightbend Reactive Platform,lrp r msgs sen 1 min
lightbend.actors.remote_sent_messages.min15_rate,gauge,,message,second,15 minute rate of remote messages sent.,0,Lightbend Reactive Platform,lrp r msgs sen 15 min
lightbend.actors.remote_sent_messages.min5_rate,gauge,,message,second,5 minute rate of remote messages sent.,0,Lightbend Reactive Platform,lrp r msgs sen 5 min
lightbend.actors.remote_sent_messages.samples,gauge,,message,second,Total number of remote messages sent.,0,Lightbend Reactive Platform,lrp r msgs sen total
lightbend.actors.remote_received_messages.mean_rate,gauge,,message,second,Average rate of remote messages received.,0,Lightbend Reactive Platform,lrp r msgs rec mean
lightbend.actors.remote_received_messages.min1_rate,gauge,,message,second,1 minute rate of remote messages received.,0,Lightbend Reactive Platform,lrp r msgs rec 1 min
lightbend.actors.remote_received_messages.min15_rate,gauge,,message,second,15 minute rate of remote messages received.,0,Lightbend Reactive Platform,lrp r msgs rec 15 min
lightbend.actors.remote_received_messages.min5_rate,gauge,,message,second,5 minute rate of remote messages received.,0,Lightbend Reactive Platform,lrp r msgs rec 5 min
lightbend.actors.remote_received_messages.samples,gauge,,message,second,Total number of remote messages received.,0,Lightbend Reactive Platform,lrp r msgs rec total
lightbend.actors.remote_sent_message_size.max,gauge,,byte,,Maximum size of remote messages sent.,0,Lightbend Reactive Platform,lrp r msgs sen max
lightbend.actors.remote_sent_message_size.mean,gauge,,byte,,Average size of remote messages sent.,0,Lightbend Reactive Platform,lrp r msgs sen avg
lightbend.actors.remote_sent_message_size.median,gauge,,byte,,Median size of remote messages sent.,0,Lightbend Reactive Platform,lrp r msgs sen med
lightbend.actors.remote_sent_message_size.min,gauge,,byte,,Minimum size of remote messages sent.,0,Lightbend Reactive Platform,lrp r msgs sen min
lightbend.actors.remote_sent_message_size.p75,gauge,,byte,,75th percentile size of remote messages sent.,0,Lightbend Reactive Platform,lrp r msgs sen p75
lightbend.actors.remote_sent_message_size.p95,gauge,,byte,,95th percentile size of remote messages sent.,0,Lightbend Reactive Platform,lrp r msgs sen p95
lightbend.actors.remote_sent_message_size.p98,gauge,,byte,,98th percentile size of remote messages sent.,0,Lightbend Reactive Platform,lrp r msgs sen p98
lightbend.actors.remote_sent_message_size.p99,gauge,,byte,,99th percentile size of remote messages sent.,0,Lightbend Reactive Platform,lrp r msgs sen p99
lightbend.actors.remote_sent_message_size.p999,gauge,,byte,,99.9th percentile size of remote messages sent.,0,Lightbend Reactive Platform,lrp r msgs sen p999
lightbend.actors.remote_sent_message_size.stddev,gauge,,byte,,Standard deviation for the size of remote messages sent.,0,Lightbend Reactive Platform,lrp r msgs sen stdev
lightbend.actors.remote_received_message_size.max,gauge,,byte,,Maximum size of remote messages received.,0,Lightbend Reactive Platform,lrp r msgs rec max
lightbend.actors.remote_received_message_size.mean,gauge,,byte,,Average size of remote messages received.,0,Lightbend Reactive Platform,lrp r msgs rec avg
lightbend.actors.remote_received_message_size.median,gauge,,byte,,Median size of remote messages received.,0,Lightbend Reactive Platform,lrp r msgs rec med
lightbend.actors.remote_received_message_size.min,gauge,,byte,,Minimum size of remote messages received.,0,Lightbend Reactive Platform,lrp r msgs rec min
lightbend.actors.remote_received_message_size.p75,gauge,,byte,,75th percentile size of remote messages received.,0,Lightbend Reactive Platform,lrp r msgs rec p75
lightbend.actors.remote_received_message_size.p95,gauge,,byte,,95th percentile size of remote messages received.,0,Lightbend Reactive Platform,lrp r msgs rec p95
lightbend.actors.remote_received_message_size.p98,gauge,,byte,,98th percentile size of remote messages received.,0,Lightbend Reactive Platform,lrp r msgs rec p98
lightbend.actors.remote_received_message_size.p99,gauge,,byte,,99th percentile size of remote messages received.,0,Lightbend Reactive Platform,lrp r msgs rec p99
lightbend.actors.remote_received_message_size.p999,gauge,,byte,,99.9th percentile size of remote messages received.,0,Lightbend Reactive Platform,lrp r msgs rec p999
lightbend.actors.remote_received_message_size.stddev,gauge,,byte,,Standard deviation for the size of remote messages received.,0,Lightbend Reactive Platform,lrp r msgs rec stdev
lightbend.actors.remote_serialization_time.max,gauge,,nanosecond,,Maximum time for serialization of remote messages.,0,Lightbend Reactive Platform,lrp ser tm max
lightbend.actors.remote_serialization_time.mean,gauge,,nanosecond,,Average time for serialization of remote messages.,0,Lightbend Reactive Platform,lrp ser tm avg
lightbend.actors.remote_serialization_time.median,gauge,,nanosecond,,Median time for serialization of remote messages.,0,Lightbend Reactive Platform,lrp ser tm med
lightbend.actors.remote_serialization_time.min,gauge,,nanosecond,,Minimum time for serialization of remote messages.,0,Lightbend Reactive Platform,lrp ser tm min
lightbend.actors.remote_serialization_time.p75,gauge,,nanosecond,,75th percentile time for serialization of remote messages.,0,Lightbend Reactive Platform,lrp ser tm p75
lightbend.actors.remote_serialization_time.p95,gauge,,nanosecond,,95th percentile time for serialization of remote messages.,0,Lightbend Reactive Platform,lrp ser tm p95
lightbend.actors.remote_serialization_time.p98,gauge,,nanosecond,,98th percentile time for serialization of remote messages.,0,Lightbend Reactive Platform,lrp ser tm p98
lightbend.actors.remote_serialization_time.p99,gauge,,nanosecond,,99th percentile time for serialization of remote messages.,0,Lightbend Reactive Platform,lrp ser tm p99
lightbend.actors.remote_serialization_time.p999,gauge,,nanosecond,,99.9th percentile time for serialization of remote messages.,0,Lightbend Reactive Platform,lrp ser tm p999
lightbend.actors.remote_serialization_time.stddev,gauge,,nanosecond,,Standard deviation for the time for serialization of remote messages.,0,Lightbend Reactive Platform,lrp ser tm stdev
lightbend.actors.remote_deserialization_time.max,gauge,,nanosecond,,Maximum time for deserialization of remote messages.,0,Lightbend Reactive Platform,lrp deser tm max
lightbend.actors.remote_deserialization_time.mean,gauge,,nanosecond,,Average time for deserialization of remote messages.,0,Lightbend Reactive Platform,lrp deser tm avg
lightbend.actors.remote_deserialization_time.median,gauge,,nanosecond,,Median time for deserialization of remote messages.,0,Lightbend Reactive Platform,lrp deser tm med
lightbend.actors.remote_deserialization_time.min,gauge,,nanosecond,,Minimum time for deserialization of remote messages.,0,Lightbend Reactive Platform,lrp deser tm min
lightbend.actors.remote_deserialization_time.p75,gauge,,nanosecond,,75th percentile time for deserialization of remote messages.,0,Lightbend Reactive Platform,lrp deser tm p75
lightbend.actors.remote_deserialization_time.p95,gauge,,nanosecond,,95th percentile time for deserialization of remote messages.,0,Lightbend Reactive Platform,lrp deser tm p95
lightbend.actors.remote_deserialization_time.p98,gauge,,nanosecond,,98th percentile time for deserialization of remote messages.,0,Lightbend Reactive Platform,lrp deser tm p98
lightbend.actors.remote_deserialization_time.p99,gauge,,nanosecond,,99th percentile time for deserialization of remote messages.,0,Lightbend Reactive Platform,lrp deser tm p99
lightbend.actors.remote_deserialization_time.p999,gauge,,nanosecond,,99.9th percentile time for deserialization of remote messages.,0,Lightbend Reactive Platform,lrp deser tm p999
lightbend.actors.remote_deserialization_time.stddev,gauge,,nanosecond,,Standard deviation for the time for deserialization of remote messages.,0,Lightbend Reactive Platform,lrp deser tm stdev
lightbend.actors.remote_large_message_sent.mean_rate,gauge,,event,second,Average rate of threshold limit events for large remote messages sent.,0,Lightbend Reactive Platform,lrp lg r msgs sen mean
lightbend.actors.remote_large_message_sent.min1_rate,gauge,,event,second,1 minute rate of threshold limit events for large remote messages sent.,0,Lightbend Reactive Platform,lrp lg r msgs sen 1 min
lightbend.actors.remote_large_message_sent.min15_rate,gauge,,event,second,15 minute rate of threshold limit events for large remote messages sent.,0,Lightbend Reactive Platform,lrp lg r msgs sen 15 min
lightbend.actors.remote_large_message_sent.min5_rate,gauge,,event,second,5 minute rate of threshold limit events for large remote messages sent.,0,Lightbend Reactive Platform,lrp lg r msgs sen 5 min
lightbend.actors.remote_large_message_sent.samples,gauge,,event,second,Total number of threshold limit events for large remote messages sent.,0,Lightbend Reactive Platform,lrp lg r msgs sen total
lightbend.actors.remote_large_message_received.mean_rate,gauge,,event,second,Average rate of threshold limit events for large remote messages received.,0,Lightbend Reactive Platform,lrp lg r msgs rec mean
lightbend.actors.remote_large_message_received.min1_rate,gauge,,event,second,1 minute rate of threshold limit events for large remote messages received.,0,Lightbend Reactive Platform,lrp lg r msgs rec 1 min
lightbend.actors.remote_large_message_received.min15_rate,gauge,,event,second,15 minute rate of threshold limit events for large remote messages received.,0,Lightbend Reactive Platform,lrp lg r msgs rec 15 min
lightbend.actors.remote_large_message_received.min5_rate,gauge,,event,second,5 minute rate of threshold limit events for large remote messages received.,0,Lightbend Reactive Platform,lrp lg r msgs rec 5 min
lightbend.actors.remote_large_message_received.samples,gauge,,event,second,Total number of threshold limit events for large remote messages received.,0,Lightbend Reactive Platform,lrp lg r msgs rec total
lightbend.remote_nodes.cluster_domain_event.mean_rate,gauge,,event,second,Average rate of Akka cluster domain events.,0,Lightbend Reactive Platform,lrp cl dom ev mean
lightbend.remote_nodes.cluster_domain_event.min1_rate,gauge,,event,second,1 minute rate of Akka cluster domain events.,0,Lightbend Reactive Platform,lrp cl dom ev 1 min
lightbend.remote_nodes.cluster_domain_event.min15_rate,gauge,,event,second,15 minute rate of Akka cluster domain events.,0,Lightbend Reactive Platform,lrp cl dom ev 15 min
lightbend.remote_nodes.cluster_domain_event.min5_rate,gauge,,event,second,5 minute rate of Akka cluster domain events.,0,Lightbend Reactive Platform,lrp cl dom ev 5 min
lightbend.remote_nodes.cluster_domain_event.samples,gauge,,event,second,Total number of Akka cluster domain events.,0,Lightbend Reactive Platform,lrp cl dom ev total
lightbend.remote_nodes.cluster_member_event.mean_rate,gauge,,event,second,Average rate of Akka cluster member events.,0,Lightbend Reactive Platform,lrp cl mem ev mean
lightbend.remote_nodes.cluster_member_event.min1_rate,gauge,,event,second,1 minute rate of Akka cluster member events.,0,Lightbend Reactive Platform,lrp cl mem ev 1 min
lightbend.remote_nodes.cluster_member_event.min15_rate,gauge,,event,second,15 minute rate of Akka cluster member events.,0,Lightbend Reactive Platform,lrp cl mem ev 15 min
lightbend.remote_nodes.cluster_member_event.min5_rate,gauge,,event,second,5 minute rate of Akka cluster member events.,0,Lightbend Reactive Platform,lrp cl mem ev 5 min
lightbend.remote_nodes.cluster_member_event.samples,gauge,,event,second,Total number of Akka cluster member events.,0,Lightbend Reactive Platform,lrp cl mem ev total
lightbend.remote_nodes.node_quarantined_event.mean_rate,gauge,,event,second,Average rate of Akka remote node quarantined events.,0,Lightbend Reactive Platform,lrp node quar ev mean
lightbend.remote_nodes.node_quarantined_event.min1_rate,gauge,,event,second,1 minute rate of Akka remote node quarantined events.,0,Lightbend Reactive Platform,lrp node quar ev 1 min
lightbend.remote_nodes.node_quarantined_event.min15_rate,gauge,,event,second,15 minute rate of Akka remote node quarantined events.,0,Lightbend Reactive Platform,lrp node quar ev 15 min
lightbend.remote_nodes.node_quarantined_event.min5_rate,gauge,,event,second,5 minute rate of Akka remote node quarantined events.,0,Lightbend Reactive Platform,lrp node quar ev 5 min
lightbend.remote_nodes.node_quarantined_event.samples,gauge,,event,second,Total number of Akka remote node quarantined events.,0,Lightbend Reactive Platform,lrp node quar ev total
lightbend.remote_nodes.phi_accrual_value,gauge,,,,Current phi accrual value for Akka remote node failure detection.,0,Lightbend Reactive Platform,lrp node phi
lightbend.self_nodes.phi_accrual_threshold_value,gauge,,,,Current phi accrual threshold value for Akka remote node failure detection.,0,Lightbend Reactive Platform,lrp node phi thres 
